"FileName","RelativePath","Occurrences","Extension","SizeKB"
"badges-fourmiz.tsx","app\(tabs)\badges-fourmiz.tsx","376",".tsx","22,6"
"calendar.tsx","app\(tabs)\calendar.tsx","780",".tsx","49,4"
"criteria.tsx","app\(tabs)\criteria.tsx","401",".tsx","25,77"
"earnings.tsx","app\(tabs)\earnings.tsx","532",".tsx","33,41"
"history.tsx","app\(tabs)\history.tsx","424",".tsx","24,75"
"index.tsx","app\(tabs)\index.tsx","830",".tsx","53,93"
"map.tsx","app\(tabs)\map.tsx","53",".tsx","3,96"
"messages.tsx","app\(tabs)\messages.tsx","494",".tsx","28,99"
"network.tsx","app\(tabs)\network.tsx","567",".tsx","36,21"
"orders.tsx","app\(tabs)\orders.tsx","1072",".tsx","69,21"
"profile.tsx","app\(tabs)\profile.tsx","512",".tsx","31,85"
"rewards.tsx","app\(tabs)\rewards.tsx","47",".tsx","3,5"
"services-list.tsx","app\(tabs)\services-list.tsx","481",".tsx","28,68"
"services-requests.tsx","app\(tabs)\services-requests.tsx","597",".tsx","36,75"
"services.tsx","app\(tabs)\services.tsx","285",".tsx","16,98"
"wallet.tsx","app\(tabs)\wallet.tsx","554",".tsx","33,84"
"analytics.tsx","app\admin\dashboard\analytics.tsx","596",".tsx","37,08"
"earnings.tsx","app\admin\dashboard\earnings.tsx","628",".tsx","37,62"
"index.tsx","app\admin\dashboard\index.tsx","808",".tsx","49,63"
"services.tsx","app\admin\dashboard\services.tsx","887",".tsx","53,72"
"settings.tsx","app\admin\dashboard\settings.tsx","996",".tsx","66,22"
"_layout.tsx","app\admin\dashboard\_layout.tsx","503",".tsx","32,21"
"client-register.tsx","app\auth\client-register.tsx","64",".tsx","3,85"
"complete-profile-client.tsx","app\auth\complete-profile-client.tsx","384",".tsx","23,55"
"complete-profile-fourmiz.tsx","app\auth\complete-profile-fourmiz.tsx","462",".tsx","28,42"
"complete-profile.tsx","app\auth\complete-profile.tsx","975",".tsx","63,91"
"forgotPassword.tsx","app\auth\forgotPassword.tsx","48",".tsx","2,41"
"fourmiz-register.tsx","app\auth\fourmiz-register.tsx","63",".tsx","3,83"
"login.tsx","app\auth\login.tsx","350",".tsx","21,31"
"recovery-redirect.tsx","app\auth\recovery-redirect.tsx","87",".tsx","4,52"
"recovery.tsx","app\auth\recovery.tsx","311",".tsx","18,61"
"register.tsx","app\auth\register.tsx","99",".tsx","5,46"
"signup.tsx","app\auth\signup.tsx","464",".tsx","30,43"
"updatePassword.tsx","app\auth\updatePassword.tsx","8",".tsx","0,59"
"_layout.tsx","app\auth\_layout.tsx","59",".tsx","2,78"
"AuthContext.tsx","app\context\AuthContext.tsx","55",".tsx","3,64"
"availability-setup.tsx","app\onboarding\availability-setup.tsx","12",".tsx","0,96"
"fourmiz-setup.tsx","app\onboarding\fourmiz-setup.tsx","12",".tsx","0,96"
"regulation-validation.tsx","app\onboarding\regulation-validation.tsx","12",".tsx","0,96"
"rgpd-validation.tsx","app\onboarding\rgpd-validation.tsx","12",".tsx","0,95"
"services-selection.tsx","app\onboarding\services-selection.tsx","12",".tsx","0,95"
"create-custom.tsx","app\orders\create-custom.tsx","1270",".tsx","83,99"
"create.tsx","app\orders\create.tsx","1011",".tsx","65,16"
"select-category.tsx","app\orders\select-category.tsx","289",".tsx","17,07"
"notifications.tsx","app\setting\notifications.tsx","414",".tsx","25,54"
"+not-found.tsx","app\+not-found.tsx","8",".tsx","0,6"
"index.tsx","app\index.tsx","53",".tsx","2,73"
"messages.tsx","app\messages.tsx","698",".tsx","43,54"
"orders.tsx","app\orders.tsx","39",".tsx","2,24"
"_layout.tsx","app\_layout.tsx","302",".tsx","19,61"
"CategoryMapper.tsx","components\fourmiz\CategoryMapper.tsx","290",".tsx","17,17"
"CriteriaForm.tsx","components\fourmiz\CriteriaForm.tsx","412",".tsx","26,5"
"ServiceSelector.tsx","components\fourmiz\ServiceSelector.tsx","313",".tsx","18,56"
"ChatBadge.tsx","components\ChatBadge.tsx","28",".tsx","1,22"
"ChatNotificationProvider.tsx","components\ChatNotificationProvider.tsx","137",".tsx","9,2"
"EarningsSummary.tsx","components\EarningsSummary.tsx","357",".tsx","18,33"
"InAppNotification.tsx","components\InAppNotification.tsx","170",".tsx","8,72"
"MessageStatus.tsx","components\MessageStatus.tsx","22",".tsx","1,3"
"NotificationManager.tsx","components\NotificationManager.tsx","149",".tsx","9,09"
"SafeAreaWrapper.tsx","components\SafeAreaWrapper.tsx","111",".tsx","7,72"
"ScrollableTabBar.tsx","components\ScrollableTabBar.tsx","72",".tsx","3,46"
"TestReferralComponent.tsx","components\TestReferralComponent.tsx","188",".tsx","12,68"
"TypingIndicator.tsx","components\TypingIndicator.tsx","56",".tsx","2,83"
"services.ts","constants\services.ts","2",".ts","69,6"
"index.tsx","fourmiz-app\app\(tabs)\services\index.tsx","44",".tsx","2,6"
"_layout.tsx","fourmiz-app\app\(tabs)\services\_layout.tsx","7",".tsx","0,41"
"index.tsx","fourmiz-app\app\(tabs)\index.tsx","167",".tsx","10,05"
"messages.tsx","fourmiz-app\app\(tabs)\messages.tsx","5",".tsx","0,35"
"orders.tsx","fourmiz-app\app\(tabs)\orders.tsx","152",".tsx","9,78"
"profile.tsx","fourmiz-app\app\(tabs)\profile.tsx","5",".tsx","0,35"
"_layout.tsx","fourmiz-app\app\(tabs)\_layout.tsx","58",".tsx","2,94"
"login.tsx","fourmiz-app\app\auth\login.tsx","90",".tsx","5,12"
"create.tsx","fourmiz-app\app\order\create.tsx","163",".tsx","12,17"
"_layout.tsx","fourmiz-app\app\order\_layout.tsx","6",".tsx","0,3"
"+not-found.tsx","fourmiz-app\app\+not-found.tsx","5",".tsx","0,36"
"index.tsx","fourmiz-app\app\index.tsx","9",".tsx","0,57"
"_layout.tsx","fourmiz-app\app\_layout.tsx","30",".tsx","1,57"
"BadgesBubble.tsx","fourmiz-app\components\BadgesBubble.tsx","42",".tsx","2,33"
"FourmizBadgesBubble.tsx","fourmiz-app\components\FourmizBadgesBubble.tsx","39",".tsx","2,03"
"useOrderTimeout.ts","hooks\useOrderTimeout.ts","1",".ts","14,4"
"useRoleAccessComponents.tsx","hooks\useRoleAccessComponents.tsx","143",".tsx","7,99"
"authGuard.js","lib\authGuard.js","1",".js","3,12"
"notifications.ts","lib\notifications.ts","1",".ts","14,46"
"referralConfig.ts","lib\referralConfig.ts","3",".ts","13,56"
"ConfirmationCodeManager.tsx","src\components\ConfirmationCodeManager.tsx","270",".tsx","15,25"
"FourmizValidationView.tsx","src\components\FourmizValidationView.tsx","280",".tsx","15,72"
"useOrders.ts","src\hooks\useOrders.ts","2",".ts","10,52"
"ScanResultScreen.js","src\screens\fourmiz\scanner\ScanResultScreen.js","1",".js","4,84"
"fourmiz-criteria.types.ts","types\fourmiz-criteria.types.ts","1",".ts","7,42"
